major_minor,t1_start,t1_end,t2_start,t2_end,t3_start,t3_end
4.22,2028-01-01,2028-06-30,2028-07-01,2029-06-30,,
4.21,,,,,,
4.20,2027-04-22,2027-10-21,2027-10-22,2028-10-21,,
4.19,,,,,,
4.18,2026-08-26,2027-02-25,2027-02-26,2028-02-25,,
4.17,,,,,,
4.16,2025-12-28,2026-06-27,2026-06-28,2027-06-27,,
4.15,,,,,,
4.14,2025-05-02,2025-10-31,2025-11-01,2026-10-31,,
4.13,,,,,,
4.12,2024-07-18,2025-01-17,2025-01-18,2026-01-17,2026-01-18,2027-01-17
4.11,,,,,,
4.10,,,,,,
4.9,,,,,,
4.8,,,,,,
4.7,,,,,,
4.6 EUS,,,,,,
4.6,,,,,,
4.5,,,,,,
4.4,,,,,,
4.3,,,,,,
4.2,,,,,,
4.1,,,,,,
